IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
030	CP40MOD130	GRUPOS DE INVENTARIOS											
050	CP40MOD130	ELEMENTOS DE INVENTARIOS											
020	CP40MOD140	TRATAMIENTO DE SERVICIOS											
030	CP40MOD140	ELEMENTOS COMPUESTOS											
040	CP40MOD140	ELEMENTOS TIPO PLANTILLA											
052	CP40MOD130	OPERACIÓN DE COMPRAS											
010	CP40MOD040	GENERACIÓN DE FORMULARIOS DE IVA EN CONTAEXCEL											
090	CP40MOD140	PERFILES DE CLIENTES											
055	CP40MOD130	OPERACIÓN DE FACTURACIÓN Y VENTAS											
020	CP40MOD040	GENERACIÓN DE CERTIFICADOS DE INGRESOS Y RETENCIONES EN CONTAEXCEL											
015	CP40MOD080	CONFIGURACIONES INICIALES											
010	CP40MOD385	Qué es ContaExcel Add In											
020	CP40MOD385	Introducción a las funciones básicas de ContaExcel											
030	CP40MOD040	GENERACIÓN DE FORMULARIOS DE RETENCIÓN EN LA FUENTE EN CONTAEXCEL											
010	CP40MOD060	INTRODUCCION A CONCILIACIÓN BANCARIA MANUAL											
010	CP40MOD120	INTRODUCCIÓN A CONCILIACIÓN BANCARIA AUTOMÁTICA											
010	CP40MOD150	INTRODUCCIÓN A INVENTARIOS PUNTO DE VENTA											
010	CP40MOD160	INTRODUCCION A INVENTARIOS COMERCIAL											
010	CP40MOD170	INTRODUCCIÓN A INVENTARIOS PLUS											
010	CP40MOD110	ACTIVOS FIJOS											
010	CP40MOD100	INTRODUCCIÓN A PRESUPUESTO Y EJECUCION PRESUPUESTAL											
010	CP40MOD350	USUARIOS Y PERFILES DE SEGURIDAD											
010	CP40MOD360	DISEÑADOR DE DOCUMENTOS											
010	CP40MOD380	CONTAEXCEL											
010	CP40MOD390	INDICADORES											
010	CP40MOD270	COSTEO POR LINEAS DE PRODUCCION											
010	CP40MOD280	COSTEO POR ORDENES DE PRODUCCION											
010	CP40MOD320	COSTEO DE MAQUINARIA Y EQUIPO											
010	CP40MOD230	ACTIVIDADES Y LABORES											
010	CP40MOD190	INSUMOS Y MATERIALES											
010	CP40MOD180	INTRODUCCIÓN PRELIMINAR A COSTOS											
010	CP40MOD185	METODOLOGIAS DE COSTOS											
010	CP40MOD250	TRATAMIENTO DE COSTOS INIDRECTOS											
010	CP40MOD210	MANEJO DE LA PRODUCCION											
080	CP40MOD150	ELEMENTOS EN ALQUILER											
020	CP40MOD150	CONFIGURACIÓN DE LA OPERACION DE VENTA TIPO POS											
030	CP40MOD150	CONFIGURACIÓN DE LA IMPRESIÓN											
040	CP40MOD150	CONFIGURACIÓN DEL CAJÓN MONEDERO											
050	CP40MOD150	CONFIGURACIÓN DEL LECTOR DE CÓDIGO DE BARRAS											
060	CP40MOD150	IMPRESIÓN DE CÓDIGOS DE BARRA											
070	CP40MOD150	CONFIGURACIÓN DEL USUARIO CAJERO											
110	CP40MOD150	INFORMES Y CONSULTAS											
100	CP40MOD140	DESCUENTOS FINANCIEROS POR PRONTO PAGO											
020	CP40MOD170	OPERACIONES RELACIONADAS CON CLIENTES											
030	CP40MOD170	OPERACIONES RELACIONADAS CON PROVEEDORES											
030	CP40MOD490	Gestión telefónica Inbound y Outbound											
035	CP40MOD170	OPERACIONES COMPLEMENTARIAS											
020	CP40MOD120	CONCEPTOS GENERALES											
010	CP40MOD075	INTRODUCCIÓN A MANEJO DE MONEDA EXTRANJERA											
020	CP40MOD075	CATALOGO DE MONEDAS											
030	CP40MOD385	Funciones para el manejo de fechas y variables de entorno											
030	CP40MOD075	CONFIGURACIÓN DEL MANEJO DE MONEDA EXTRANJERA											
040	CP40MOD075	OPERACIÓN DE REGISTRO DE TASAS DE CAMBIO											
040	CP40MOD170	INFORMES											
050	CP40MOD075	OPERACIONES QUE MANEJAN MONEDA EXTRANJERA											
010	CP40MOD093	INTRODUCCION A NOMINA CONTABLE											
060	CP40MOD075	AJUSTES POR DIFERENCIA EN CAMBIO											
