ICURSO	QNIVEL	NNIVEL	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
RECONT	1	Capítulo	1								
RECONT	2	Título	1								
REDEL	1	Capítulo	1								
REDEL	2	Título	1								
REDES	1	Capítulo	1								
REDES	2	Título	1								
REFOTRIB22	1	Capítulo	1								
REFOTRIB22	2	Título	1								
REFOTRIB24	1	Capítulo	1								
REFOTRIB24	2	Título	1								
REINV	1	Capítulo	1								
REINV	2	Título	1								
RENTA-AG22	1	Capítulo	1								
RENTA-AG22	2	Título	1								
RES-165	1	Capítulo	1								
RES-165	2	Título	1								
RETEC	1	Capítulo	1								
RETEC	2	Título	1								
RL2025	1	Capítulo	1								
RL2025	2	Título	1								
RLSM120226	1	Capítulo	1								
RLSM120226	2	Título	1								
RLYPCAE	1	Capítulo	1								
RLYPCAE	2	Título	1								
SE281025	1	Capítulo	1								
SE281025	2	Título	1								
SEER1025	1	Capítulo	1								
SEER1025	2	Título	1								
SINIVA2021	1	Capítulo	1								
SINIVA2021	2	Título	1								
SUMMIT	1	Capítulo	1								
SUMMIT	2	Título	1								
SUMMIT2020	1	Capítulo	1								
SUMMIT2020	2	Título	1								
SUMMIT2022	1	Capítulo	1								
SUMMIT2022	2	Título	1								
SUMMIT2024	1	Capítulo	1								
SUMMIT2024	2	Título	1								
SUMMIT2025	1	Capítulo	1								
SUMMIT2025	2	Título	1								
TELETRAB	1	Capítulo	1								
TELETRAB	2	Título	1								
TESTAPRIET	1	Capítulo	1								
TESTAPRIET	2	Título	1								
TMT2024	1	Capítulo	1								
TMT2024	2	Título	1								
TRIBUT2022	1	Capítulo	1								
TRIBUT2022	2	Título	1								
VPACOMERCI	1	Capítulo	1								
VPACOMERCI	2	Título	1								
VPAUXCONTA	1	Capítulo	1								
VPAUXCONTA	2	Título	1								
VPCONTADOR	1	Capítulo	1								
VPCONTADOR	2	Título	1								
VPFACTURA	1	Capítulo	1								
VPFACTURA	2	Título	1								
VPGCOMERCI	1	Capítulo	1								
VPGCOMERCI	2	Título	1								
VPJBODEGA	1	Capítulo	1								
VPJBODEGA	2	Título	1								
VPREVISORF	1	Capítulo	1								
VPREVISORF	2	Título	1								
